City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,faanui,-16.4833,-151.75,78.71,78.71,14,16.42,PF,1669012945
1,new norfolk,-42.7826,147.0587,50.92,49.5,23,5.01,AU,1669012946
2,trenggalek,-8.05,111.7167,84.58,84.58,100,6.17,ID,1669012946
3,cherskiy,68.75,161.3,-18.51,-18.51,100,5.84,RU,1669012947
4,bluff,-46.6,168.3333,58.8,58.8,100,13.51,NZ,1669012948
5,zlitan,32.4674,14.5687,62.26,62.26,0,16.75,LY,1669012949
6,nizhniy kuranakh,58.8353,125.4869,-14.37,-14.37,86,0.78,RU,1669012949
7,barrhead,55.7992,-4.3929,37.81,34.11,100,11.5,GB,1669012898
8,arraial do cabo,-22.9661,-42.0278,71.47,71.47,1,13.65,BR,1669012951
9,dikson,73.5069,80.5464,-21.73,-21.73,33,5.53,RU,1669012951
10,severo-kurilsk,50.6789,156.125,36.18,36.18,100,9.13,RU,1669012769
11,saint anthony,45.0205,-93.218,28.35,23.79,0,9.22,US,1669012883
12,rikitea,-23.1203,-134.9692,69.03,69.03,100,14.2,PF,1669012953
13,bredasdorp,-34.5322,20.0403,66.79,66.79,91,5.84,ZA,1669012953
14,port-gentil,-0.7193,8.7815,78.76,78.76,40,4.61,GA,1669012903
15,upernavik,72.7868,-56.1549,11.64,11.64,100,17.81,GL,1669012954
16,lebu,-37.6167,-73.65,52.57,52.57,4,18.05,CL,1669012777
17,ola,59.5833,151.2833,21.15,21.15,100,25.05,RU,1669012955
18,jamestown,42.097,-79.2353,26.19,10.94,100,12.66,US,1669012722
19,atuona,-9.8,-139.0333,77.25,77.25,27,7.87,PF,1669012956
20,hilo,19.7297,-155.09,73.26,68.61,75,8.05,US,1669012844
21,sao joao da barra,-21.6403,-41.0511,71.53,71.53,98,8.81,BR,1669012957
22,argudan,43.4214,43.9158,54.48,54.48,100,1.41,RU,1669012958
23,yellowknife,62.456,-114.3525,23.52,23.52,100,12.66,CA,1669012959
24,cape town,-33.9258,18.4232,69.89,66.11,0,9.22,ZA,1669012946
25,altagracia de orituco,9.8601,-66.3814,69.49,69.49,29,3.6,VE,1669012960
26,san cristobal,7.7669,-72.225,64.85,64.85,100,1.59,VE,1669012961
27,eucaliptus,-17.5833,-67.5167,45.28,45.28,75,1.74,BO,1669012961
28,hermanus,-34.4187,19.2345,64.8,64.8,43,5.61,ZA,1669012962
29,busselton,-33.65,115.3333,74.64,74.64,0,11.52,AU,1669012962
30,liwale,-9.7667,37.9333,85.19,85.19,91,5.75,TZ,1669012963
31,williston,48.147,-103.618,25.54,25.54,44,4.85,US,1669012861
32,port shepstone,-30.7414,30.455,72.16,72.16,58,17.11,ZA,1669012964
33,poso,-1.3959,120.7524,80.85,80.85,100,4.7,ID,1669012965
34,avarua,-21.2078,-159.775,73.45,73.45,40,8.05,CK,1669012966
35,kapaa,22.0752,-159.319,77.32,74.19,75,20.71,US,1669012543
36,longyearbyen,78.2186,15.6401,37.24,37.24,75,19.57,SJ,1669012873
37,bojnurd,37.4747,57.329,46.35,46.35,0,2.3,IR,1669012824
38,punta arenas,-53.15,-70.9167,46.51,46.11,40,14.97,CL,1669012967
39,abu samrah,35.3029,37.1841,63.34,63.34,100,7.47,SY,1669012849
40,mataura,-46.1927,168.8643,58.48,58.48,100,4.05,NZ,1669012968
41,bambous virieux,-20.3428,57.7575,82.65,80.22,40,18.41,MU,1669012969
42,mar del plata,-38.0023,-57.5575,60.1,56.82,100,12.66,AR,1669012970
43,hobart,-42.8794,147.3294,51.26,49.86,75,19.57,AU,1669012970
44,nueve de julio,-35.4444,-60.8831,54.97,54.97,99,5.99,AR,1669012971
45,nizhniy mamon,50.1937,40.5083,39.2,39.2,100,6.22,RU,1669012972
46,port blair,11.6667,92.75,87.84,87.84,40,5.75,IN,1669012972
47,redmond,47.674,-122.1215,46.85,38.86,99,3.0,US,1669012794
48,rajanpur,29.1035,70.325,80.58,80.58,1,6.06,PK,1669012973
49,sistranda,63.7256,8.834,26.56,26.56,0,28.88,NO,1669012974
50,tura,25.5198,90.2201,76.93,76.93,100,3.44,IN,1669012821
51,hofn,64.2539,-15.2082,44.1,44.1,100,9.51,IS,1669012975
52,vytegra,61.0064,36.4481,18.0,18.0,82,2.13,RU,1669012976
53,barrow,71.2906,-156.7887,21.22,21.22,100,14.97,US,1669012838
54,mahebourg,-20.4081,57.7,82.69,80.26,40,18.41,MU,1669012977
55,georgetown,5.4112,100.3354,89.53,84.24,20,7.0,MY,1669012776
56,berlevag,70.8578,29.0864,37.4,35.4,100,9.22,NO,1669012977
57,vardo,70.3705,31.1107,33.78,33.78,100,10.36,NO,1669012978
58,paracuru,-3.41,-39.0306,80.11,80.11,90,13.91,BR,1669012979
59,geraldton,-28.7667,114.6,93.61,93.61,0,17.27,AU,1669012979
60,klaksvik,62.2266,-6.589,45.52,45.52,49,16.64,FO,1669012686
61,avera,33.194,-82.5271,33.31,28.45,44,6.69,US,1669012980
62,takaka,-40.85,172.8,63.55,63.55,0,8.43,NZ,1669012981
63,san patricio,28.017,-97.5169,50.85,47.12,100,7.47,US,1669012982
64,gisborne,-38.6533,178.0042,64.08,64.08,17,10.67,NZ,1669012982
65,alofi,-19.0595,-169.9187,75.09,75.09,100,5.75,NU,1669012983
66,grand gaube,-20.0064,57.6608,82.8,80.38,5,8.99,MU,1669012879
67,ushuaia,-54.8,-68.3,46.06,46.06,40,3.44,AR,1669012684
68,port lincoln,-34.7333,135.8667,56.66,56.66,57,19.37,AU,1669012984
69,jumla,29.2747,82.1838,64.51,64.51,7,6.53,NP,1669012744
70,nuuk,64.1835,-51.7216,19.31,19.31,84,5.86,GL,1669012985
71,ucluelet,48.9329,-125.5528,45.09,45.09,100,7.34,CA,1669012986
72,ayagoz,47.9714,80.4392,27.0,27.0,100,6.42,KZ,1669012987
73,trapani,37.8333,12.6667,60.89,54.28,40,19.57,IT,1669012988
74,chapais,49.7834,-74.8492,4.78,4.78,100,7.31,CA,1669012988
75,karratha,-20.7377,116.8463,84.9,84.9,100,16.28,AU,1669012989
76,albany,42.6001,-73.9662,24.58,20.34,100,6.2,US,1669012801
77,aykhal,66.0,111.5,-16.19,-16.19,100,4.88,RU,1669012990
78,saint-philippe,-21.3585,55.7679,81.99,80.11,3,12.75,RE,1669012991
79,saskylakh,71.9167,114.0833,-34.31,-34.31,43,4.83,RU,1669012992
80,saint george,37.1041,-113.5841,37.99,37.99,0,4.61,US,1669012835
81,hrubieszow,50.805,23.8925,28.36,28.36,97,4.21,PL,1669012993
82,bilma,18.6853,12.9164,69.85,69.85,48,7.47,NE,1669012994
83,cidreira,-30.1811,-50.2056,68.99,68.99,100,17.65,BR,1669012995
84,east london,-33.0153,27.9116,74.34,74.34,0,2.3,ZA,1669012996
85,morros,-9.4467,-46.3003,68.34,68.34,10,2.77,BR,1669012996
86,lorengau,-2.0226,147.2712,84.7,84.7,95,9.4,PG,1669012997
87,inhambane,-23.865,35.3833,80.58,80.58,40,11.5,MZ,1669012998
